Uniprot_ID;Gene_ID;Gene;Function;Essentiality_Y_N;Essentiality_0_1;Essentiality_0_1keeping;Essentiality_0_11notkeeping
P31119;b2836;aas;AAS bifunctional protein;N;0;0;0
P23885;b0885;aat;Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.-);N;0;0;0
P30750;b0199;abc;ATP-binding protein abc;N;0;0;0
P77357;b1338;abgA;Aminobenzoyl-glutamate utilization protein A;N;0;0;0
P76052;b1337;abgB;Aminobenzoyl-glutamate utilization protein B;N;0;0;0
P77744;b1339;abgR;Putative transcriptional regulator abgR;N;0;0;0
P46133;b1336;abgT;Aminobenzoyl-glutamate transport protein;N;0;0;0
P75747;b0715;abrB;AbrB protein;N;0;0;0
P30867;b0185;accA;Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (EC 6.4.1.2);E;1;1;1
P02905;b3255;accB;Biotin carboxyl carrier protein of acetyl-CoA carboxylase;X;0;1;1
P24182;b3256;accC;Biotin carboxylase (EC 6.3.4.14) (A subunit of acetyl-CoA carboxylase (EC 6.4.1.2));X;0;1;1
P08193;b2316;accD;Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (EC 6.4.1.2);N*;0;1;1
P05313;b4015;aceA;Isocitrate lyase (EC 4.1.3.1);N;0;0;0
P08997;b4014;aceB;Malate synthase A (EC 4.1.3.2);N;0;0;0
P06958;b0114;aceE;Pyruvate dehydrogenase E1 component (EC 1.2.4.1);N;0;1;1
P06959;b0115;aceF;Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12);E;1;1;1
P11071;b4016;aceK;Isocitrate dehydrogenase kinase/phosphatase (EC 2.7.1.116) (EC 3.1.3.-);N;0;0;0
P15046;b2296;ackA;Acetate kinase (EC 2.7.2.1);E;1;1;0
P25516;b1276;acnA;Aconitate hydratase 1 (EC 4.2.1.3);N;0;0;0
P36683;b0118;acnB;Aconitate hydratase 2 (EC 4.2.1.3);N;0;1;1
P41407;b1412;acpD;Acyl carrier protein phosphodiesterase (EC 3.1.4.14);E;1;1;0
P02901;b1094;acpP;Acyl carrier protein;?;0;1;1
P24224;b2563;acpS;Holo-[acyl-carrier protein] synthase (EC 2.7.8.7);E;1;1;1
P31223;b0463;acrA;Acriflavine resistance protein A precursor;N;0;0;0
P31224;b0462;acrB;Acriflavine resistance protein B;N;0;0;0
P24177;b2470;acrD;Probable aminoglycoside efflux pump;N;0;0;0
P24180;b3265;acrE;Acriflavine resistance protein E precursor;N;0;0;0
P24181;b3266;acrF;Acriflavine resistance protein F;N;0;0;0
P34000;b0464;acrR;Potential acrAB operon repressor;N;0;0;0
P27550;b4069;acs;Acetyl-coenzyme A synthetase (EC 6.2.1.1);N;0;0;0
P06134;b2213;ada;ADA regulatory protein;N;0;0;0
P22333;b1623;add;Adenosine deaminase (EC 3.5.4.4);N;0;0;0
P25437;b0356;adhC;Alcohol dehydrogenase class III (EC 1.1.1.1) (EC 1.2.1.1);N;0;0;0
P17547;b1241;adhE;Aldehyde-alcohol dehydrogenase;N;0;0;0
P39451;b1478;adhP;Alcohol dehydrogenase, propanol-preferring (EC 1.1.1.1);N;0;0;0
P28629;b4117;adiA;Biodegradative arginine decarboxylase (EC 4.1.1.19);N;0;0;0
P33234;b4116;adiY;Putative regulatory protein adiY;X;0;0;0
P05082;b0474;adk;Adenylate kinase (EC 2.7.4.3);E;1;1;1
P37127;b2468;aegA;AegA protein;N;0;0;0
P50466;b3072;aer;Aerotaxis receptor;N;0;0;0
P23872;b0476;aes;Acetyl esterase (EC 3.1.1.-);N;0;0;0
P75681;b0263;afuB;Putative ferric transport system permease protein afuB;N;0;0;0
P37009;b0262;afuC;Putative ferric transport ATP-binding protein afuC;N;0;0;0
P42906;b3135;agaA;Putative N-acetylgalactosamine-6-phosphate deacetylase (EC 3.5.1.80);N;0;0;0
P42909;b3138;agaB;PTS system, N-acetylgalactosamine-specific IIB component 1 (EC 2.7.1.69);?;0;0;0
P42910;b3139;agaC;PTS system, N-acetylgalactosamine-specific IIC component 1;N;0;0;0
P42911;b3140;agaD;PTS system, N-acetylgalactosamine-specific IID component;N;0;0;0
P42912;b3141;agaI;Putative galactosamine-6-phosphate isomerase (EC 5.3.1.-);N;0;0;0
P42902;b3131;agaR;Putative aga operon transcriptional repressor;N;0;0;0
P42907;b3136;agaS;Putative tagatose-6-phosphate ketose/aldose isomerase (EC 5.-.-.-);N;0;0;0
P42904;b3133;agaV;PTS system, N-acetylgalactosamine-specific IIB component 2 (EC 2.7.1.69);E;1;1;0
P42905;b3134;agaW;PTS system, N-acetylgalactosamine-specific IIC component 2;E;1;1;0
P42908;b3137;agaY;Tagatose-bisphosphate aldolase agaY (EC 4.1.2.-);N;0;0;0
P42903;b3132;agaZ;Putative tagatose 6-phosphate kinase agaZ (EC 2.7.1.144);N;0;0;0
P19926;b1002;agp;Glucose-1-phosphatase precursor (EC 3.1.3.10);N;0;0;0
P26427;b0605;ahpC;Alkyl hydroperoxide reductase C22 protein (EC 1.6.4.-);N;0;0;0
P35340;b0606;ahpF;Alkyl hydroperoxide reductase subunit F (EC 1.6.4.-);N;0;0;0
P33224;b4187;aidB;AidB protein;N;0;0;0
P45565;b2252;ais;Ais protein;X;0;0;0
P00957;b2697;alaS;Alanyl-tRNA synthetase (EC 6.1.1.7);E;1;1;1
P25553;b1415;aldA;Aldehyde dehydrogenase A (EC 1.2.1.22);N;0;0;0
P37685;b3588;aldB;Aldehyde dehydrogenase B (EC 1.2.1.22);X;0;0;0
P23883;b1300;aldH;Putative aldehyde dehydrogenase (EC 1.2.1.3);N;0;0;0
P04395;b2068;alkA;DNA-3-methyladenine glycosylase II (EC 3.2.2.21);N;0;0;0
P05050;b2212;alkB;Alkylated DNA repair protein alkB;N;0;0;0
P77731;b0505;allA;Ureidoglycolate hydrolase (EC 3.5.3.19);E;1;1;0
P77671;b0512;allB;Allantoinase (EC 3.5.2.5);N;0;0;0
P77425;b0516;allC;Allantoate amidohydrolase (EC 3.5.3.-);N;0;0;0
P77555;b0517;allD;Ureidoglycolate dehydrogenase (EC 1.1.1.154);N;0;0;0
P77734;b0506;allR;Negative regulator of allantoin and glyoxylate utilization operons;N;0;0;0
P33997;b2624;alpA;Prophage CP4-57 regulatory protein alpA;X;0;0;0
P29743;b4053;alr;Alanine racemase, biosynthetic (EC 5.1.1.1);N;0;0;0
P32721;b4087;alsA;D-allose transport ATP-binding protein alsA;N;0;0;0
P39265;b4088;alsB;D-allose-binding periplasmic protein precursor;N;0;0;0
P32720;b4086;alsC;D-allose transport system permease protein alsC;X;0;0;0
P32719;b4085;alsE;D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-);X;0;0;0
P32718;b4084;alsK;D-allose kinase (EC 2.7.1.55);N;0;0;0
P36548;b2435;amiA;Probable N-acetylmuramoyl-L-alanine amidase amiA precursor (EC 3.5.1.28);N;0;0;0
P26365;b4169;amiB;N-acetylmuramoyl-L-alanine amidase amiB precursor (EC 3.5.1.28);N;0;0;0
Q46929;b2817;amiC;N-acetylmuramoyl-L-alanine amidase amiC precursor (EC 3.5.1.28);N;0;0;0
P15272;b1982;amn;AMP nucleosidase (EC 3.2.2.4);N;0;0;0
P00811;b4150;ampC;Beta-lactamase precursor (EC 3.5.2.6);N;0;0;0
P13016;b0110;ampD;AmpD protein;N;0;0;0
P13017;b0111;ampE;AmpE protein;N;0;0;0
P36670;b0433;ampG;AmpG protein;N;0;0;0
P46127;b0376;ampH;Penicillin-binding protein ampH;N;0;0;0
P37905;b0451;amtB;Probable ammonium transporter;N;0;0;0
P26612;b1927;amyA;Cytoplasmic alpha-amylase (EC 3.2.1.1);N;0;0;0
P18840;b1767;ansA;L-asparaginase I (EC 3.5.1.1);N;0;0;0
P00805;b2957;ansB;L-asparaginase II precursor (EC 3.5.1.1);E;1;1;0
P77610;b1453;ansP;L-asparagine permease;N;0;0;0
P05636;b0050;apaG;ApaG protein;N;0;0;0
P05637;b0049;apaH;Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41);N;0;0;0
P33944;b2214;apbE;Thiamine biosynthesis lipoprotein apbE precursor;N;0;0;0
P32697;b4055;aphA;Class B acid phosphatase precursor (EC 3.1.3.2);N;0;0;0
P07102;b0980;appA;Periplasmic appA protein precursor;N;0;0;0
P26458;b0979;appB;Cytochrome BD-II oxidase subunit II (EC 1.10.3.-);N;0;0;0
P26459;b0978;appC;Cytochrome BD-II oxidase subunit I (EC 1.10.3.-);N;0;0;0
P05052;b0564;appY;AppY protein;E;1;1;0
P07672;b0469;apt;Adenine phosphoribosyltransferase (EC 2.4.2.7);E;1;1;0
P48838;b0875;aqpZ;Aquaporin Z;N;0;0;0
P08202;b0062;araA;L-arabinose isomerase (EC 5.3.1.4);N;0;0;0
P08204;b0063;araB;L-ribulokinase (EC 2.7.1.16);N;0;0;0
P03021;b0064;araC;Arabinose operon regulatory protein;N;0;0;0
P08203;b0061;araD;L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4);N;0;0;0
P09830;b2841;araE;Arabinose-proton symporter;N;0;0;0
P02924;b1901;araF;L-arabinose-binding periplasmic protein precursor;E;1;1;0
P08531;b1900;araG;L-arabinose transport ATP-binding protein araG;E;1;1;0
P08532;b1898;araH;L-arabinose transport system permease protein araH;N;0;0;0
P08532;;araH;L-arabinose transport system permease protein araH;N;0;0;0
P23910;b0396;araJ;Protein araJ precursor;N;0;0;0
P03026;b4401;arcA;Aerobic respiration control protein arcA;X;0;0;0
P22763;b3210;arcB;Aerobic respiration control sensor protein arcB (EC 2.7.3.-);N;0;0;0
P37306;b0521;arcC;Carbamate kinase (EC 2.7.2.2);E;1;1;0
P08205;b2818;argA;Amino-acid acetyltransferase (EC 2.3.1.1);N;0;1;1
P11445;b3959;argB;Acetylglutamate kinase (EC 2.7.2.8);N;0;1;1
P11446;b3958;argC;N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38);E;1;1;1
P18335;b3359;argD;Acetylornithine aminotransferase (EC 2.6.1.11);?;0;0;0
P23908;b3957;argE;Acetylornithine deacetylase (EC 3.5.1.16);X;0;1;1
P06960;b0273;argF;Ornithine carbamoyltransferase chain F (EC 2.1.3.3);N;0;0;0
P22767;b3172;argG;Argininosuccinate synthase (EC 6.3.4.5);N;0;1;1
P11447;b3960;argH;Argininosuccinate lyase (EC 4.3.2.1);N;0;1;1
P04391;b4254;argI;Ornithine carbamoyltransferase chain I (EC 2.1.3.3);X;0;0;0
P27254;b2918;argK;LAO/AO transport system kinase (EC 2.7.-.-);N;0;0;0
P77581;b1748;argM;Succinylornithine transaminase (EC 2.6.1.-);N;0;0;0
P15282;b3237;argR;Arginine repressor;E;1;1;1
P11875;b1876;argS;Arginyl-tRNA synthetase (EC 6.1.1.19);E;1;1;1
P09551;b2310;argT;Lysine-arginine-ornithine-binding periplasmic protein precursor;N;0;0;0
P07638;b0908;aroA;3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19);N;0;1;1
P07639;b3389;aroB;3-dehydroquinate synthase (EC 4.2.3.4);N;0;1;1
P12008;b2329;aroC;Chorismate synthase (EC 4.6.1.4);N;0;1;1
P05194;b1693;aroD;3-dehydroquinate dehydratase (EC 4.2.1.10);N;0;1;1
P15770;b3281;aroE;Shikimate 5-dehydrogenase (EC 1.1.1.25);N;0;1;1
P00888;b2601;aroF;Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive (EC 4.1.2.15);N;0;1;1
P00886;b0754;aroG;Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 4.1.2.15);N;0;0;0
P00887;b1704;aroH;Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive (EC 4.1.2.15);E;1;1;0
P24167;b3390;aroK;Shikimate kinase I (EC 2.7.1.71);E;1;1;1
P08329;b0388;aroL;Shikimate kinase II (EC 2.7.1.71);N;0;0;0
P08403;b0390;aroM;AroM protein;N;0;0;0
P15993;b0112;aroP;Aromatic amino acid transport protein aroP;N;0;0;0
P23325;b4017;arpA;Ankyrin-repeat protein A;N;0;0;0
P76205;b1721;arpB;Ankyrin-repeat protein B;N;0;0;0
P37310;b3502;arsB;Arsenical pump membrane protein;N;0;0;0
P37311;b3503;arsC;Arsenate reductase (EC 1.97.1.5);N;0;0;0
P37309;b3501;arsR;Arsenical resistance operon repressor;?;0;0;0
P30859;b0863;artI;Arginine-binding periplasmic protein 1 precursor;N;0;0;0
P30860;b0860;artJ;Arginine-binding periplasmic protein 2 precursor;N;0;0;0
P30862;b0861;artM;Arginine transport system permease protein artM;N;0;0;0
P30858;b0864;artP;Arginine transport ATP-binding protein artP;N;0;0;0
P30861;b0862;artQ;Arginine transport system permease protein artQ;N;0;0;0
P24240;b2716;ascB;6-phospho-beta-glucosidase ascB (EC 3.2.1.86);N;0;0;0
P24241;b2715;ascF;PTS system, arbutin-, cellobiose-, and salicin-specific IIABC component (EC 2.7.1.69);N;0;0;0
P24242;b2714;ascG;Cryptic asc operon repressor;N;0;0;0
P00353;b3433;asd;Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11);E;1;1;1
P25549;b3801;aslA;Arylsulfatase (EC 3.1.6.1);N;0;0;0
P25550;b3800;aslB;Putative arylsulfatase regulatory protein;N;0;0;0
P28249;b2064;asmA;Protein asmA precursor;N;0;0;0
P00963;b3744;asnA;Aspartate--ammonia ligase (EC 6.3.1.1);N;0;0;0
P22106;b0674;asnB;Asparagine synthetase B [glutamine-hydrolyzing] (EC 6.3.5.4);N;0;0;0
P03809;b3743;asnC;Regulatory protein asnC;N;0;0;0
P17242;b0930;asnS;Asparaginyl-tRNA synthetase (EC 6.1.1.22);E;1;1;1
P04422;b4139;aspA;Aspartate ammonia-lyase (EC 4.3.1.1);N;0;0;0
P00509;b0928;aspC;Aspartate aminotransferase (EC 2.6.1.1);N;0;1;1
P21889;b1866;aspS;Aspartyl-tRNA synthetase (EC 6.1.1.12);E;1;1;1
P36560;b1597;asr;;N;0;0;0
P76218;b1747;astA;Arginine N-succinyltransferase (EC 2.3.1.109);E;1;1;0
P76216;b1745;astB;Succinylarginine dihydrolase (EC 3.-.-.-);E;1;1;0
P76217;b1746;astD;Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.-);N;0;0;0
P76215;b1744;astE;Succinylglutamate desuccinylase (EC 3.1.-.-);?;0;0;0
P76459;b2222;atoA;Acetate CoA-transferase beta subunit (EC 2.8.3.8);N;0;0;0
P76461;b2224;atoB;Acetyl-CoA acetyltransferase (EC 2.3.1.9);N;0;0;0
Q06065;b2220;atoC;Acetoacetate metabolism regulatory protein atoC;N;0;0;0
P76458;b2221;atoD;Acetate CoA-transferase alpha subunit (EC 2.8.3.8);N;0;0;0
P76460;b2223;atoE;Short-chain fatty acids transporter;N;0;0;0
Q06067;b2219;atoS;Sensor protein atoS (EC 2.7.3.-);N;0;0;0
P00822;b3734;atpA;ATP synthase alpha chain (EC 3.6.3.14);N;0;0;0
P00855;b3738;atpB;ATP synthase A chain (EC 3.6.3.14);N;0;0;0
P00832;b3731;atpC;ATP synthase epsilon chain (EC 3.6.3.14);E;1;1;0
P00824;b3732;atpD;ATP synthase beta chain (EC 3.6.3.14);N;0;0;0
P00844;b3737;atpE;ATP synthase C chain (EC 3.6.3.14);N;0;0;0
P00859;b3736;atpF;ATP synthase B chain (EC 3.6.3.14);E;1;1;0
P00837;b3733;atpG;ATP synthase gamma chain (EC 3.6.3.14);N;0;0;0
P00831;b3735;atpH;ATP synthase delta chain (EC 3.6.3.14);X;0;0;0
P03808;b3739;atpI;ATP synthase protein I;N;0;0;0
P09053;b3572;avtA;Valine--pyruvate aminotransferase (EC 2.6.1.66);N;0;0;0
P30846;b2079;baeR;Transcriptional regulatory protein baeR;N;0;0;0
P30847;b2078;baeS;Sensor protein baeS (EC 2.7.3.-);N;0;0;0
P26607;b2786;barA;Sensor protein barA (EC 2.7.3.-);N;0;0;0
P30843;b4113;basR;Transcriptional regulatory protein basR/pmrA;N;0;0;0
P30844;b4112;basS;Sensor protein basS/pmrB (EC 2.7.3.-);X;0;0;0
P27297;b3570;bax;BAX protein;N;0;0;0
P23480;b2480;bcp;Bacterioferritin comigratory protein;N;0;0;0
P28246;b2182;bcr;Bicyclomycin resistance protein;N;0;0;0
P37651;b3531;bcsC;Endoglucanase precursor (EC 3.2.1.4);N;0;0;0
P76127;b1481;bdm;Bdm protein;N;0;0;0
P17444;b0311;betA;Choline dehydrogenase (EC 1.1.99.1);N;0;0;0
P17445;b0312;betB;Betaine aldehyde dehydrogenase (EC 1.2.1.8);N;0;0;0
P17446;b0313;betI;Regulatory protein betI;N;0;0;0
P17447;b0314;betT;High-affinity choline transport protein;N;0;0;0
P13655;b3337;bfd;Bacterioferritin-associated ferredoxin;X;0;0;0
P11056;b3336;bfr;Bacterioferritin;X;0;0;0
Q46829;b2901;bglA;6-phospho-beta-glucosidase bglA (EC 3.2.1.86);N;0;0;0
P11988;b3721;bglB;6-phospho-beta-glucosidase bglB (EC 3.2.1.86);X;0;0;0
P08722;b3722;bglF;PTS system, beta-glucoside-specific IIABC component (EC 2.7.1.69);N;0;0;0
P11989;b3723;bglG;Cryptic beta-glucoside bgl operon antiterminator;N;0;0;0
P39404;b4366;bglJ;Transcriptional activator protein bglJ;N;0;0;0
P33363;b2132;bglX;Periplasmic beta-glucosidase precursor (EC 3.2.1.21);N;0;0;0
P12995;b0774;bioA;Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62);N;0;0;0
P12996;b0775;bioB;Biotin synthase (EC 2.8.1.6);N;0;1;1
P12999;b0777;bioC;Biotin synthesis protein bioC;N;0;1;1
P13000;b0778;bioD;Dethiobiotin synthetase (EC 6.3.3.3);N;0;0;0
P12998;b0776;bioF;8-amino-7-oxononanoate synthase (EC 2.3.1.47);N;0;1;1
P13001;b3412;bioH;BioH protein;N;0;0;0
P06709;b3973;birA;BirA bifunctional protein;E;1;1;0
P20099;b3551;bisC;Biotin sulfoxide reductase (EC 1.-.-.-);N;0;0;0
P39281;b4149;blc;Outer membrane lipoprotein blc precursor;?;0;0;0
P56976;;blr;Beta-lactam resistance protein;N;0;0;0
P15298;b0435;bolA;BolA protein;N;0;0;0
P77330;b0557;borD;Bor protein homolog from lambdoid prophage DLP12 precursor;N;0;0;0
P37011;b0401;brnQ;Branched-chain amino acid transport system II carrier protein;N;0;0;0
P06129;b3966;btuB;Vitamin B12 receptor precursor;N;0;0;0
P06609;b1711;btuC;Vitamin B12 transport system permease protein btuC;N;0;0;0
P06611;b1709;btuD;Vitamin B12 transport ATP-binding protein btuD (EC 3.6.3.33);N;0;0;0
P06610;b1710;btuE;Vitamin B12 transport periplasmic protein btuE;E;1;1;0
P37028;b0158;btuF;Vitamin B12 transport protein btuF precursor;N;0;0;0
P13040;b1270;btuR;COB(I)alamin adenosyltransferase (EC 2.5.1.17);E;1;1;0
P23892;b4131;cadA;Lysine decarboxylase, inducible (EC 4.1.1.18);N;0;0;0
P23891;b4132;cadB;Probable cadaverine/lysine antiporter;N;0;0;0
P23890;b4133;cadC;Transcriptional activator cadC;X;0;0;0
P25537;b3247;cafA;Ribonuclease G (EC 3.1.4.-);N;0;0;0
P31571;b0039;caiA;Probable carnitine operon oxidoreductase caiA (EC 1.3.99.-);N;0;0;0
P31572;b0038;caiB;L-carnitine dehydratase (EC 4.2.1.89);N;0;0;0
P31552;b0037;caiC;Probable crotonobetaine/carnitine-CoA ligase (EC 6.3.2.-);N;0;0;0
P31551;b0036;caiD;Carnitine racemase (EC 5.-.-.-);N;0;0;0
P39206;b0035;caiE;Carnitine operon protein caiE;N;0;0;0
Q47081;b0034;caiF;Transcriptional activatory protein caiF;N;0;0;0
P31553;b0040;caiT;Probable carnitine transporter;N;0;0;0
P00907;b0032;carA;Carbamoyl-phosphate synthase small chain (EC 6.3.5.5);N;0;1;1
P00968;b0033;carB;Carbamoyl-phosphate synthase large chain (EC 6.3.5.5);N;0;1;1
Q47083;b1987;cbl;Transcriptional regulator cbl;X;0;0;0
P36659;b1000;cbpA;Curved DNA-binding protein;N;0;0;0
P06961;b3056;cca;tRNA nucleotidyltransferase (EC 2.7.7.25);E;1;1;1
P33931;b2201;ccmA;Heme exporter protein A;N;0;0;0
P33930;b2200;ccmB;Heme exporter protein B;N;0;0;0
P33929;b2199;ccmC;Heme exporter protein C;N;0;0;0
P36770;b2198;ccmD;Heme exporter protein D;N;0;0;0
P33928;b2197;ccmE;Cytochrome c-type biogenesis protein ccmE;E;1;1;0
P33927;b2196;ccmF;Cytochrome c-type biogenesis protein ccmF;N;0;0;0
P33925;b2194;ccmH;Cytochrome c-type biogenesis protein ccmH precursor;N;0;0;0
P37047;b0162;cdaR;Carbohydrate diacid regulator;N;0;0;0
P13652;b2143;cdd;Cytidine deaminase (EC 3.5.4.5);N;0;0;0
P06282;b3918;cdh;CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26);N;0;0;0
P06466;b0175;cdsA;Phosphatidate cytidylyltransferase (EC 2.7.7.41);E;1;1;1
P76211;b1731;cedA;Cell division activator cedA;N;0;0;0
P17409;b1738;celA;PTS system, cellobiose-specific IIB component (EC 2.7.1.69);E;1;1;0
P17334;b1737;celB;PTS system, cellobiose-specific IIC component;N;0;0;0
P17335;b1736;celC;PTS system, cellobiose-specific IIA component (EC 2.7.1.69);E;1;1;0
P17410;b1735;celD;Cel operon repressor;N;0;0;0
P17411;b1734;celF;6-phospho-beta-glucosidase (EC 3.2.1.86);N;0;0;0
P30010;b1661;cfa;Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79);N;0;0;0
P31801;b1216;chaA;Calcium/proton antiporter;N;0;0;0
P39162;b1217;chaB;Cation transport regulator chaB;X;0;0;0
P39163;b1218;chaC;Cation transport protein chaC;N;0;0;0
P07363;b1888;cheA;Chemotaxis protein cheA (EC 2.7.3.-);N;0;0;0
P07330;b1883;cheB;Protein-glutamate methylesterase (EC 3.1.1.61);?;0;0;0
P07364;b1884;cheR;Chemotaxis protein methyltransferase (EC 2.1.1.80);E;1;1;0
P07365;b1887;cheW;Chemotaxis protein cheW;E;1;1;0
P06143;b1882;cheY;Chemotaxis protein cheY;N;0;0;0
P07366;b1881;cheZ;Chemotaxis protein cheZ;N;0;0;0
P13656;b3338;chiA;Probable bifunctional chitinase/lysozyme precursor;N;0;0;0
P33645;b2782;chpA;PemK-like protein 1;N;0;0;0
P33647;b4225;chpB;PemK-like protein 2;N;0;0;0
P18534;b2783;chpR;PemI-like protein 1;N;0;0;0
P08365;b4224;chpS;PemI-like protein 2;E;1;1;0
P77808;b2249;cinA;CinA-like protein;N;0;0;0
P17315;b2155;cirA;Colicin I receptor precursor;N;0;0;0
P77390;b0618;citC;[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22);N;0;0;0
P77618;b0617;citD;Citrate lyase acyl carrier protein;N;0;0;0
P77770;b0616;citE;Citrate lyase beta chain (EC 4.1.3.6) (EC 4.1.3.34);N;0;0;0
P75726;b0615;citF;Citrate lyase alpha chain (EC 4.1.3.6) (EC 2.8.3.10);N;0;0;0
P77231;b0613;citG;2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (EC 4.2.-.-);N;0;0;0
P77405;b0612;citT;Citrate carrier;N;0;0;0
P77563;b0614;citX;Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase (EC 2.7.7.-);N;0;0;0
P15716;b0882;clpA;ATP-dependent clp protease ATP-binding subunit clpA;N;0;0;0
P03815;b2592;clpB;ClpB protein;N;0;0;0
P19245;b0437;clpP;ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92);N;0;1;1
P33138;b0438;clpX;ATP-dependent Clp protease ATP-binding subunit clpX;N;0;1;1
P31071;b1249;cls;Cardiolipin synthetase (EC 2.7.8.-);N;0;0;0
P23863;b0910;cmk;Cytidylate kinase (EC 2.7.4.14);E;1;1;1
Q46966;b0842;cmr;Multidrug translocase mdfA;N;0;0;0
P32059;b2933;cmtA;PTS system, mannitol (Cryptic)-specific IIBC component (EC 2.7.1.69);N;0;0;0
P32058;b2934;cmtB;PTS system, mannitol (Cryptic)-specific IIA component (EC 2.7.1.69);N;0;0;0
P15044;b3974;coaA;Pantothenate kinase (EC 2.7.1.33);E;1;1;1
P23875;b3634;coaD;Phosphopantetheine adenylyltransferase (EC 2.7.7.3);E;1;1;1
P36679;b0103;coaE;Dephospho-CoA kinase (EC 2.7.1.24);E;1;1;1
P75960;b1120;cobB;CobB protein;N;0;0;0
P52086;b0638;cobC;Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.-);N;0;0;0
P36561;b1992;cobS;Cobalamin [5'-phosphate] synthase (EC 2.-.-.-);N;0;0;0
P36562;b1991;cobT;Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21);N;0;0;0
P46886;b1993;cobU;Bifunctional cobalamin biosynthesis protein cobU;N;0;0;0
P25524;b0337;codA;Cytosine deaminase (EC 3.5.4.1);N;0;0;0
P25525;b0336;codB;Cytosine permease;N;0;0;0
P46891;b0446;cof;Cof protein;N;0;0;0
Q59385;b0484;copA;Copper-transporting P-type ATPase (EC 3.6.3.4);N;0;0;0
P27841;b3816;corA;Magnesium and cobalt transport protein corA;E;1;1;0
P77392;b0658;corC;Magnesium and cobalt efflux protein corC;N;0;0;0
P08331;b4213;cpdB;2',3'-cyclic-nucleotide 2'-phosphodiesterase precursor (EC 3.1.4.16);N;0;0;0
P08336;b3911;cpxA;Sensor protein cpxA (EC 2.7.3.-);X;0;0;0
P32158;b3914;cpxP;Periplasmic protein cpxP precursor;N;0;0;0
P16244;b3912;cpxR;Transcriptional regulatory protein cpxR;N;0;0;0
P37001;b0622;crcA;CrcA protein;N;0;0;0
P37002;b0624;crcB;Protein crcB;E;1;1;0
P08367;b4397;creA;CreA protein;N;0;0;0
P08368;b4398;creB;Transcriptional regulatory protein creB;N;0;0;0
P08401;b4399;creC;Sensor protein creC (EC 2.7.3.-);N;0;0;0
P08369;b4400;creD;Inner membrane protein creD;N;0;0;0
P24251;b0240;crl;Curlin genes transcriptional activatory protein;N;0;0;0
P03020;b3357;crp;Catabolite gene activator;X;0;1;1
P08837;b2417;crr;PTS system, glucose-specific IIA component (EC 2.7.1.69);N;0;1;1
Q46925;b2810;csdA;Cysteine sulfinate desulfinase (EC 4.4.1.-);N;0;0;0
P77444;b1680;csdB;Selenocysteine lyase (EC 4.4.1.16);N;0;0;0
P28307;b1042;csgA;Major curlin subunit precursor;N;0;0;0
P39828;b1041;csgB;Minor curlin subunit precursor;N;0;0;0
P52107;b1043;csgC;Putative curli production protein csgC precursor;N;0;0;0
P52106;b1040;csgD;Probable csgAB operon transcriptional regulatory protein;N;0;0;0
P52105;b1039;csgE;Curli production assembly/transport component csgE precursor;E;1;1;0
P52104;b1038;csgF;Curli production assembly/transport component csgF precursor;N;0;0;0
P52103;b1037;csgG;Curli production assembly/transport component csgG precursor;N;0;0;0
P54901;b2535;csiE;Stationary phase inducible protein csiE;N;0;0;0
P15277;b3556;cspA;Cold shock protein cspA;N;0;0;0
P36995;b1557;cspB;Cold shock-like protein cspB;N;0;0;0
P36996;b1823;cspC;Cold shock-like protein cspC;X;0;0;0
P24245;b0880;cspD;Cold shock-like protein cspD;N;0;0;0
P36997;b0623;cspE;Cold shock-like protein cspE;N;0;0;0
P39819;b1558;cspF;Cold shock-like protein cspF;N;0;0;0
Q47130;b0990;cspG;Cold shock-like protein cspG;N;0;0;0
P56253;b0989;cspH;Cold shock-like protein cspH;?;0;0;0
P77605;b1552;cspI;Cold shock-like protein cspI;?;0;0;0
P31803;b2696;csrA;Carbon storage regulator;X;0;1;1
