Uniprot_ID;Gene_ID;Gene;Function;Essentiality_Y_N;Essentiality_0_1;Essentiality_0_1keeping;Essentiality_0_11notkeeping
P46022;b3208;mtgA;Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-);N;0;0;0
P00550;b3599;mtlA;PTS system, mannitol-specific IIABC component (EC 2.7.1.69);N;0;0;0
P09424;b3600;mtlD;Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17);N;0;0;0
P36563;b3601;mtlR;Mannitol operon repressor;N;0;0;0
P24247;b0159;mtn;MTA/SAH nucleosidase;E;1;1;1
P22306;b3161;mtr;Tryptophan-specific transport protein;X;0;0;0
P43342;b3068;mug;G/U mismatch-specific DNA glycosylase (EC 3.2.2.-);N;0;0;0
P22523;b0924;mukB;Cell division protein mukB;E;1;1;1
P22524;b0923;mukE;MukE protein;E;1;1;1
P36567;b0922;mukF;MukF protein;E;1;1;1
P28909;b3189;murA;UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7);N;0;1;1
P08373;b3972;murB;UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158);N;0;1;1
P17952;b0091;murC;UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8);E;1;1;1
P14900;b0088;murD;UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9);E;1;1;1
P22188;b0085;murE;UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13);E;1;1;1
P11880;b0086;murF;UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanyl ligase (EC 6.3.2.15);N;0;1;1
P17443;b0090;murG;UDP-N-acetylglucosamine--N-acetylmuramyl-(Pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.-);E;1;1;1
P22634;b3967;murI;Glutamate racemase (EC 5.1.1.3);E;1;1;1
P06722;b2831;mutH;DNA mismatch repair protein mutH;N;0;0;0
P23367;b4170;mutL;DNA mismatch repair protein mutL;N;0;0;0
P05523;b3635;mutM;Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23);N;0;0;0
P23909;b2733;mutS;DNA mismatch repair protein mutS;N;0;0;0
P08337;b0099;mutT;Mutator mutT protein (EC 3.6.1.-);N;0;0;0
P17802;b2961;mutY;A/G-specific adenine glycosylase (EC 3.2.2.-);N;0;0;0
P75931;b1068;mviM;Virulence factor mviM homolog;N;0;0;0
P75932;b1069;mviN;Virulence factor mviN homolog;E;1;1;0
Q47005;b1988;nac;Nitrogen assimilation regulatory protein nac;N;0;0;0
P11458;b0750;nadA;Quinolinate synthetase A;N;0;1;1
P10902;b2574;nadB;L-aspartate oxidase (EC 1.4.3.16);N;0;1;1
P30011;b0109;nadC;Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19);N;0;1;1
P52085;b0639;nadD;Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18);N;0;1;1
P18843;b1740;nadE;NH(3)-dependent NAD(+) synthetase (EC 6.3.5.1);E;1;1;0
P27278;b4390;nadR;Transcriptional regulator nadR;N;0;0;0
P15300;b0677;nagA;N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25);N;0;0;0
P09375;b0678;nagB;Glucosamine-6-phosphate isomerase (EC 3.5.99.6);N;0;0;0
P15301;b0676;nagC;N-acetylglucosamine repressor;N;0;0;0
P15302;b0675;nagD;NagD protein;N;0;0;0
P09323;b0679;nagE;PTS system, N-acetylglucosamine-specific IIABC component (EC 2.7.1.69);N;0;0;0
P75949;b1107;nagZ;Beta-hexosaminidase (EC 3.2.1.52);N;0;0;0
P06995;b3225;nanA;N-acetylneuraminate lyase subunit (EC 4.1.3.3);N;0;0;0
P41036;b3224;nanT;Putative sialic acid transporter;N;0;0;0
P33937;b2206;napA;Periplasmic nitrate reductase precursor (EC 1.7.99.4);N;0;0;0
P33933;b2203;napB;Diheme cytochrome c napB precursor;N;0;0;0
P33932;b2202;napC;Cytochrome c-type protein napC;N;0;0;0
P33938;b2207;napD;NapD protein;N;0;0;0
P33939;b2208;napF;Ferredoxin-type protein napF;N;0;0;0
P33936;b2205;napG;Ferredoxin-type protein napG;N;0;0;0
P33934;b2204;napH;Ferredoxin-type protein napH;N;0;0;0
P09152;b1224;narG;Respiratory nitrate reductase 1 alpha chain (EC 1.7.99.4);N;0;0;0
P11349;b1225;narH;Respiratory nitrate reductase 1 beta chain (EC 1.7.99.4);N;0;0;0
P11350;b1227;narI;Respiratory nitrate reductase 1 gamma chain (EC 1.7.99.4);N;0;0;0
P11351;b1226;narJ;Respiratory nitrate reductase 1 delta chain (EC 1.7.99.4);N;0;0;0
P10903;b1223;narK;Nitrite extrusion protein 1;N;0;0;0
P10957;b1221;narL;Nitrate/nitrite response regulator protein narL;N;0;0;0
P31802;b2193;narP;Nitrate/nitrite response regulator protein narP;N;0;0;0
P27896;b2469;narQ;Nitrate/nitrite sensor protein narQ (EC 2.7.3.-);N;0;0;0
P37758;b1469;narU;Nitrite extrusion protein 2;N;0;0;0
P19316;b1465;narV;Respiratory nitrate reductase 2 gamma chain (EC 1.7.99.4);N;0;0;0
P19317;b1466;narW;Respiratory nitrate reductase 2 delta chain (EC 1.7.99.4);N;0;0;0
P10956;b1222;narX;Nitrate/nitrite sensor protein narX (EC 2.7.3.-);N;0;1;1
P19318;b1467;narY;Respiratory nitrate reductase 2 beta chain (EC 1.7.99.4);N;0;0;0
P19319;b1468;narZ;Respiratory nitrate reductase 2 alpha chain (EC 1.7.99.4);N;0;0;0
P00393;b1109;ndh;NADH dehydrogenase (EC 1.6.99.3);N;0;1;1
P24233;b2518;ndk;Nucleoside diphosphate kinase (EC 2.7.4.6);E;1;1;0
P50465;b0714;nei;Endonuclease VIII (EC 3.2.-.-);X;0;0;0
P77258;b1650;nemA;N-ethylmaleimide reductase (EC 1.-.-.-);N;0;0;0
P32679;b3998;nfi;Endonuclease V (EC 3.1.-.-);N;0;0;0
P38489;b0578;nfnB;Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) (EC 1.6.99.7);N;0;0;0
P12638;b2159;nfo;Endonuclease IV (EC 3.1.21.2);N;0;0;0
P31600;b0568;nfrA;Bacteriophage N4 adsorption protein A precursor;N;0;0;0
P31599;b0569;nfrB;Bacteriophage N4 adsorption protein B;N;0;0;0
P17117;b0851;nfsA;Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-);N;0;0;0
P13738;b0019;nhaA;Na(+)/H(+) antiporter 1;N;0;0;0
P27377;b1186;nhaB;Na(+)/H(+) antiporter 2;N;0;0;0
P10087;b0020;nhaR;Transcriptional activator protein nhaR;N;0;0;0
P77567;b1463;nhoA;N-hydroxyarylamine O-acetyltransferase (EC 2.3.1.118);E;1;1;1
P77310;b2529;nifU;NifU-like protein;E;1;1;0
P33590;b3476;nikA;Nickel-binding periplasmic protein precursor;N;0;0;0
P33591;b3477;nikB;Nickel transport system permease protein nikB;N;0;0;0
P33592;b3478;nikC;Nickel transport system permease protein nikC;N;0;0;0
P33593;b3479;nikD;Nickel transport ATP-binding protein nikD;N;0;0;0
P33594;b3480;nikE;Nickel transport ATP-binding protein nikE;N;0;0;0
P28910;b3481;nikR;Nickel responsive regulator;N;0;0;0
Q47270;b0548;ninE;Protein ninE homolog from lambdoid prophage DLP12;?;0;0;0
P08201;b3365;nirB;Nitrite reductase [NAD(P)H] large subunit (EC 1.6.6.4);N;0;0;0
P11097;b3367;nirC;Potential nitrite transporter;X;0;1;1
P23675;b3366;nirD;Nitrite reductase [NAD(P)H] small subunit (EC 1.6.6.4);N;0;0;0
P04846;b3661;nlpA;Lipoprotein-28 precursor;X;0;0;0
P21167;b2477;nlpB;Lipoprotein-34 precursor;N;0;0;0
P23898;b1708;nlpC;Probable lipoprotein nlpC precursor;N;0;1;1
P33648;b2742;nlpD;Lipoprotein nlpD precursor;N;0;1;1
P39833;b3163;nlpI;Lipoprotein nlpI precursor;N;0;0;0
P21420;b0553;nmpC;Outer membrane porin protein nmpC precursor;N;0;0;0
P31061;b1548;nohA;Prophage Qin DNA packaging protein NU1 homolog;?;0;0;0
P31062;b0560;nohB;Prophage QSR' DNA packaging protein NU1 homolog;N;0;0;0
