Gene;Gene_ID;Phenotype;Essentiality_0_1
AMN1;YBR158W;viable;0
AMN1;YBR158W;viable;0
AMS1;YGL156W;viable;0
ANB1;YJR047C;viable;0
ANB1;YJR047C;viable;0
ANB1;YJR047C;viable;0
ANK1;YGL242C;viable;0
ANK1;YGL242C;viable;0
ANP1;YEL036C;viable;0
ANR2;YKL047W;viable;0
ANR2;YKL047W;viable;0
ANS1;YHR126C;viable;0
ANT1;YPR128C;viable;0
ANY1;YMR010W;viable;0
ANY1;YMR010W;viable;0
APA1;YCL050C;viable;0
APA1;YCL050C;viable;0
APA2;YDR530C;viable;0
APC11;YDL008W;viable;0
APC9;YLR102C;viable;0
APD1;YBR151W;viable;0
APE1;YKL103C;viable;0
APE2;YKL157W;viable;0
APE3;YBR286W;viable;0
APE4;YHR113W;viable;0
API2;YDR525W;viable;0
API2;YDR525W;viable;0
APJ1;YNL077W;viable;0
APJ1;YNL077W;viable;0
APL1;YJR005W;viable;0
APL2;YKL135C;viable;0
APL3;YBL037W;viable;0
APL4;YPR029C;viable;0
APL5;YPL195W;viable;0
APL6;YGR261C;viable;0
APM1;YPL259C;viable;0
APM2;YHL019C;viable;0
APM3;YBR288C;viable;0
APM3;YBR288C;viable;0
APM4;YOL062C;viable;0
APN1;YKL114C;viable;0
APN2;YBL019W;viable;0
APN2;YBL019W;viable;0
APP1;YNL094W;viable;0
APQ12;YIL040W;viable;0
APQ13;YJL075C;viable;0
APS1;YLR170C;viable;0
APS2;YJR058C;viable;0
APS3;YJL024C;viable;0
APT1;YML022W;viable;0
APT2;YDR441C;viable;0
AQR1;YNL065W;viable;0
AQY1;YPR192W;viable;0
AQY2;YLL052C;viable;0
AQY2;YLL052C;viable;0
AQY3;YFL054C;viable;0
ARA1;YBR149W;viable;0
ARA1;YBR149W;viable;0
ARA2;YMR041C;viable;0
ARC1;YGL105W;viable;0
ARC1;YGL105W;viable;0
ARC18;YLR370C;viable;0
ARC40;YBR234C;viable;0
ARD1;YHR013C;viable;0
ARD1;YHR013C;viable;0
ARD1;YHR013C;viable;0
ARE1;YCR048W;viable;0
ARE2;YNR019W;viable;0
ARF1;YDL192W;viable;0
ARF2;YDL137W;viable;0
ARF3;YOR094W;viable;0
ARG1;YOL058W;viable;0
ARG2;YJL071W;viable;0
ARG3;YJL088W;viable;0
ARG3;YJL088W;viable;0
ARG4;YHR018C;viable;0
ARG56;YER069W;viable;0
ARG7;YMR062C;viable;0
ARG80;YMR042W;viable;0
ARG81;YML099C;viable;0
ARG82;YDR173C;viable;0
ARI1;YGL157W;viable;0
ARK1;YNL020C;viable;0
ARK1;YNL020C;viable;0
ARL1;YBR164C;viable;0
ARL3;YPL051W;viable;0
ARN1;YHL040C;viable;0
ARN2;YHL047C;viable;0
ARO1;YDR127W;viable;0
ARO10;YDR380W;viable;0
ARO2;YGL148W;viable;0
ARO3;YDR035W;viable;0
ARO4;YBR249C;viable;0
ARO5;YGL117W;viable;0
ARO7;YPR060C;viable;0
ARO8;YGL202W;viable;0
ARO8;YGL202W;viable;0
ARO80;YDR421W;viable;0
ARO80;YDR421W;viable;0
ARO9;YHR137W;viable;0
ARP1;YHR129C;viable;0
ARP10;YDR106W;viable;0
ARP2;YDL029W;viable;0
ARP3;YJR065C;viable;0
ARP5;YNL059C;viable;0
ARP6;YLR085C;viable;0
ARP7;YPR034W;viable;0
ARP7;YPR034W;viable;0
ARP8;YOR141C;viable;0
ARP9;YMR033W;viable;0
ARP9;YMR033W;viable;0
ARR1;YPR199C;viable;0
ARR2;YPR200C;viable;0
